provincia,departamento,sector,ambito,Localizacion,ElectricidadSi,ElectricidadRedpública,ElectricidadGrupoelectrógeno,ElectricidadPanelfotovoltaicosolar,ElectricidadGeneradoreólico,ElectricidadGeneradorhidráulico,ElectricidadOtro,EquipamientoEstablecimientoTelevisor,EquipamientoEstablecimientoSistemamultimediaoCañón,EquipamientoEstablecimientoScanner,EquipamientoEstablecimientoWebcam,EquipamientoEstablecimientoReproductordeCD,EquipamientoEstablecimientoReproductordeDVD,EquipamientoEstablecimientoImpresora,EquipamientoEstablecimientoEquipoemisorderadioAMFM,EquipamientoEstablecimientoEquiporeceptorderadioAMFM,EquipamientoEstablecimientoServidorparausoescolar,EquipamientoEstablecimientoImpresora3D,EquipamientoEstablecimientoEquipodeSonido,EquipamientoEstablecimientoPizarrasdigitales,EquipamientoBibliotecaTelevisor,EquipamientoBibliotecaSistemamultimediaoCañón,EquipamientoBibliotecaScanner,EquipamientoBibliotecaEquipamientoBibliotecaWebcam,EquipamientoBibliotecaReproductordeCD,EquipamientoBibliotecaReproductordeDVD,EquipamientoBibliotecaImpresora,EquipamientoBibliotecaEquipoemisorderadioAMFM,EquipamientoBibliotecaEquiporeceptorderadioAMFM,EquipamientoBibliotecaServidorparausoescolar,InternetTipodeservicioGratuito,InternetTipodeservicioPago,InternetTipodeconexiónTelefónica,InternetTipodeconexiónADSL,InternetTipodeconexiónCableMódem,InternetTipodeconexiónSatelital,InternetTipodeconexiónOtroTipo,InternetTipodeconexiónMóvil,EspaciosconconexiónEneláreadeadministración,EspaciosconconexiónEnlasaulas,EspaciosconconexiónEnlabibliotecas,EspaciosconconexiónEnotroespaciodelestablecimiento,EspaciosconconexiónEnellaboratorio,CooperadoraConpersoneríajurídica,CooperadoraSinpersoneríajurídica,CooperadoraNo,SistemadeGestiónEscolarSi,SistemadeGestiónEscolarProvistoporelMinisterio,SistemadeGestiónEscolarDesarrolladoporterceros,SistemadeGestiónEscolarEncargadoporelEstablecimiento,SistemadeGestiónEscolarPlanilladeCalculo,DisponedesalaolaboratoriodeinformáticaSi,LaboratorioFuncionaesespacioexclusivoSi,BibliotecaDisponedealmenosunaSi,BibliotecaFuncionaesespacioexclusivoSi,SubvenciónEstatalJardínMaternalSi,SubvenciónEstatalJardíndeInfantesSi,SubvenciónEstatalPrimariaSi,SubvenciónEstatalSecundariaSi,SubvenciónEstatalSNUSi
Buenos Aires,25 DE MAYO,Estatal,Rural,49,48,48,1,,,,,31,35,19,6,20,24,41,14,,3,1,27,20,8,7,3,1,5,6,7,1,,1,8,19,3,2,16,6,3,3,18,23,12,10,4,28,13,7,19,14,,1,4,12,6,23,13,,,,,
Buenos Aires,25 DE MAYO,Estatal,Urbano,43,43,43,,,,,,32,29,23,4,22,18,30,17,,1,2,27,14,11,9,4,,3,6,1,1,,,9,25,2,,27,2,4,2,30,21,18,13,7,25,5,13,20,20,,,,10,4,31,22,,,,,
Buenos Aires,25 DE MAYO,Privado,Urbano,9,9,9,,,,,,7,5,7,7,8,9,9,5,,4,1,9,,3,4,1,2,1,3,3,1,,2,,9,1,3,5,1,,2,9,6,3,6,2,,,9,7,5,,,2,2,1,5,4,,3,3,3,
Buenos Aires,9 DE JULIO,Estatal,Rural,48,48,48,,,,,,34,37,22,8,29,28,39,17,,6,2,33,25,13,12,5,1,11,10,9,4,,1,17,10,5,5,11,5,1,2,21,17,13,11,7,28,8,12,12,9,1,,2,12,7,32,19,,,,,
Buenos Aires,9 DE JULIO,Estatal,Urbano,37,37,37,,,,,,23,31,15,8,14,18,32,17,,3,6,31,17,10,8,5,1,5,6,10,3,,2,24,9,8,7,18,1,1,3,31,25,22,17,12,19,11,7,17,14,1,2,,11,9,28,21,,,,,
Buenos Aires,9 DE JULIO,Privado,Urbano,7,7,7,,,,,,6,7,6,4,7,6,7,5,,2,1,7,,2,2,2,,2,2,1,2,,1,,7,,2,2,2,,2,7,7,4,4,4,,,7,4,2,2,,,4,4,5,5,,2,2,3,
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,26,26,26,,,,,,21,19,15,9,21,12,21,16,,8,1,17,16,6,6,5,4,7,4,5,5,,1,21,3,3,2,4,18,,,16,17,7,14,4,14,7,5,14,13,,,1,5,3,12,5,,,,,
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,19,19,19,,,,,,19,17,9,3,13,12,17,10,,,1,16,10,5,4,1,,3,3,1,1,,,11,8,3,1,9,3,4,,19,17,10,11,3,8,11,,10,10,,,,5,2,13,10,,,,,
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,22,22,21,1,1,,,,17,13,5,5,8,12,19,13,,6,,13,4,3,4,,,2,2,2,3,,1,10,3,2,1,4,7,2,1,10,11,2,7,2,13,8,1,16,16,,,,2,,17,3,,,,,
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,14,14,14,1,,,,,11,11,5,4,7,6,11,8,,1,1,11,7,6,5,1,2,6,6,3,3,,,9,3,1,1,5,,3,3,11,8,9,7,5,9,5,,9,8,,,1,6,3,12,11,,,,,
