"Año","Trimestre","Provincia","Velocidad","Accesos"
"2025","4","Buenos Aires","0","98.069"
"2025","4","Buenos Aires","1","19.189"
"2025","4","Buenos Aires","2","16.514"
"2025","4","Buenos Aires","3","38.668"
"2025","4","Buenos Aires","4","8.521"
"2025","4","Buenos Aires","0,5","272"
"2025","4","Buenos Aires","5","16.528"
"2025","4","Buenos Aires","6","61.837"
"2025","4","Buenos Aires","7","8.409"
"2025","4","Buenos Aires","8","14.254"
"2025","4","Buenos Aires","9","747"
"2025","4","Buenos Aires","10","86.672"
"2025","4","Buenos Aires","11","635"
"2025","4","Buenos Aires","12","17.405"
"2025","4","Buenos Aires","13","268"
"2025","4","Buenos Aires","14","234"
"2025","4","Buenos Aires","1,5","141"
"2025","4","Buenos Aires","15","54.695"
"2025","4","Buenos Aires","16","730"
"2025","4","Buenos Aires","18","2"
"2025","4","Buenos Aires","19","3"
"2025","4","Buenos Aires","20","130.269"
"2025","4","Buenos Aires","21","1"
"2025","4","Buenos Aires","22","1"
"2025","4","Buenos Aires","23","20"
"2025","4","Buenos Aires","24","755"
"2025","4","Buenos Aires","2,5","21"
"2025","4","Buenos Aires","25","32.850"
"2025","4","Buenos Aires","26","112"
"2025","4","Buenos Aires","30","78.848"
"2025","4","Buenos Aires","32","53"
"2025","4","Buenos Aires","35","3.224"
"2025","4","Buenos Aires","3,5","2.538"
"2025","4","Buenos Aires","40","23.901"
"2025","4","Buenos Aires","41","9"
"2025","4","Buenos Aires","45","562"
"2025","4","Buenos Aires","46","1.757"
"2025","4","Buenos Aires","48","720"
"2025","4","Buenos Aires","49","1"
"2025","4","Buenos Aires","50","193.394"
"2025","4","Buenos Aires","0,51","168"
"2025","4","Buenos Aires","55","1.562"
"2025","4","Buenos Aires","59","59"
"2025","4","Buenos Aires","60","2.110"
"2025","4","Buenos Aires","65","1"
"2025","4","Buenos Aires","70","2.249"
"2025","4","Buenos Aires","0,75","39"
"2025","4","Buenos Aires","75","1.556"
"2025","4","Buenos Aires","80","12.003"
"2025","4","Buenos Aires","85","16"
"2025","4","Buenos Aires","99","18.640"
"2025","4","Buenos Aires","100","1.142.774"
"2025","4","Buenos Aires","101","8.112"
"2025","4","Buenos Aires","105","10"
"2025","4","Buenos Aires","120","1"
"2025","4","Buenos Aires","125","9"
"2025","4","Buenos Aires","150","16.483"
"2025","4","Buenos Aires","153","442"
"2025","4","Buenos Aires","160","1.664"
"2025","4","Buenos Aires","200","57.048"
"2025","4","Buenos Aires","204","32"
"2025","4","Buenos Aires","205","3"
"2025","4","Buenos Aires","212","1"
"2025","4","Buenos Aires","240","1.833"
"2025","4","Buenos Aires","246","56"
"2025","4","Buenos Aires","250","2.541"
"2025","4","Buenos Aires","256","15"
"2025","4","Buenos Aires","300","1.723.385"
"2025","4","Buenos Aires","301","288"
"2025","4","Buenos Aires","302","12.702"
"2025","4","Buenos Aires","320","29"
"2025","4","Buenos Aires","350","283"
"2025","4","Buenos Aires","400","7.710"
"2025","4","Buenos Aires","450","14"
"2025","4","Buenos Aires","499","942.847"
"2025","4","Buenos Aires","500","74.254"
"2025","4","Buenos Aires","512","663"
"2025","4","Buenos Aires","550","64"
"2025","4","Buenos Aires","600","169.564"
"2025","4","Buenos Aires","700","503"
"2025","4","Buenos Aires","800","16.432"
"2025","4","Buenos Aires","900","433"
"2025","4","Buenos Aires","940","94.292"
"2025","4","Buenos Aires","950","1"
"2025","4","Buenos Aires","999","38.633"
"2025","4","Buenos Aires","1000","207.480"
"2025","4","Buenos Aires","1200","38"
"2025","4","Buenos Aires","1500","9"
"2025","4","Buenos Aires","226,5","79.215"
"2025","4","Buenos Aires","2400","128"
"2025","4","Buenos Aires","3030","46"
"2025","4","Buenos Aires","4000","99"
"2025","4","CABA","0","37.478"
"2025","4","CABA","1","2.540"
"2025","4","CABA","2","220"
"2025","4","CABA","3","2.214"
"2025","4","CABA","4","983"
"2025","4","CABA","5","1.711"
"2025","4","CABA","0,5","6"
"2025","4","CABA","6","4.439"
"2025","4","CABA","7","10"
"2025","4","CABA","8","163"
"2025","4","CABA","9","24"
"2025","4","CABA","10","11.049"
"2025","4","CABA","11","5"
"2025","4","CABA","12","98"
"2025","4","CABA","14","14"
"2025","4","CABA","15","4.312"
"2025","4","CABA","16","5"
"2025","4","CABA","19","18"
"2025","4","CABA","20","5.319"
"2025","4","CABA","21","1"
"2025","4","CABA","25","43"
"2025","4","CABA","0,26","1"
"2025","4","CABA","30","5.111"
"2025","4","CABA","3,5","45"
"2025","4","CABA","35","28"
"2025","4","CABA","40","226"
"2025","4","CABA","45","9"
"2025","4","CABA","46","206"
"2025","4","CABA","50","37.611"
"2025","4","CABA","0,51","35"
"2025","4","CABA","55","1"
"2025","4","CABA","60","42"
"2025","4","CABA","66","1"
"2025","4","CABA","70","3"
"2025","4","CABA","75","1"
"2025","4","CABA","80","12"
"2025","4","CABA","99","9.888"
"2025","4","CABA","100","291.080"
"2025","4","CABA","101","956"
"2025","4","CABA","110","1"
"2025","4","CABA","120","5"
"2025","4","CABA","125","3"
"2025","4","CABA","150","6.583"
"2025","4","CABA","160","5"
"2025","4","CABA","200","2.850"
"2025","4","CABA","220","1"
"2025","4","CABA","225","1"
"2025","4","CABA","250","1.399"
"2025","4","CABA","275","1"
"2025","4","CABA","300","593.416"
"2025","4","CABA","301","30"
"2025","4","CABA","302","1.104"
"2025","4","CABA","325","2"
"2025","4","CABA","400","56"
"2025","4","CABA","499","299.647"
"2025","4","CABA","500","63.741"
"2025","4","CABA","600","12.818"
"2025","4","CABA","700","74"
"2025","4","CABA","800","1.387"
"2025","4","CABA","940","11.386"
"2025","4","CABA","999","11.392"
"2025","4","CABA","1000","77.476"
"2025","4","CABA","226,5","9.720"
"2025","4","Catamarca","0","391"
"2025","4","Catamarca","1","99"
"2025","4","Catamarca","2","115"
"2025","4","Catamarca","3","1.426"
"2025","4","Catamarca","0,5","34"
"2025","4","Catamarca","5","314"
"2025","4","Catamarca","6","322"
"2025","4","Catamarca","10","2.170"
"2025","4","Catamarca","12","5"
"2025","4","Catamarca","15","1.772"
"2025","4","Catamarca","20","1.394"
"2025","4","Catamarca","24","1.288"
"2025","4","Catamarca","25","47"
"2025","4","Catamarca","30","838"
"2025","4","Catamarca","50","6.383"
"2025","4","Catamarca","0,51","37"
"2025","4","Catamarca","100","39.737"
"2025","4","Catamarca","200","42"
"2025","4","Catamarca","300","19.356"
"2025","4","Catamarca","500","285"
"2025","4","Catamarca","600","2.330"
"2025","4","Catamarca","1000","49"
"2025","4","Catamarca","226,5","10.704"
"2025","4","Chaco","0","20.887"
"2025","4","Chaco","1","68"
"2025","4","Chaco","2","776"
"2025","4","Chaco","3","2.373"
"2025","4","Chaco","4","493"
"2025","4","Chaco","0,5","234"
"2025","4","Chaco","5","3.728"
"2025","4","Chaco","6","2.059"
"2025","4","Chaco","7","142"
"2025","4","Chaco","8","220"
"2025","4","Chaco","9","1"
"2025","4","Chaco","10","5.308"
"2025","4","Chaco","12","77"
"2025","4","Chaco","14","100"
"2025","4","Chaco","15","1.954"
"2025","4","Chaco","16","24"
"2025","4","Chaco","20","378"
"2025","4","Chaco","25","3.367"
"2025","4","Chaco","30","6.388"
"2025","4","Chaco","3,5","165"
"2025","4","Chaco","48","1.292"
"2025","4","Chaco","50","7.191"
"2025","4","Chaco","0,51","2"
"2025","4","Chaco","60","4.225"
"2025","4","Chaco","70","8"
"2025","4","Chaco","100","72.585"
"2025","4","Chaco","120","8"
"2025","4","Chaco","150","4.914"
"2025","4","Chaco","200","409"
"2025","4","Chaco","300","39.571"
"2025","4","Chaco","500","1.283"
"2025","4","Chaco","600","2.138"
"2025","4","Chaco","800","114"
"2025","4","Chaco","1000","119"
