indicador;unidad;alcance_id;alcance_nombre;año;valor
VAB;miles de pesos de 2018;06;BUENOS AIRES;2018;2.979.144.737
VAB;miles de pesos de 2018;02;CAPITAL FEDERAL;2018;2.183.846.020
VAB;miles de pesos de 2018;10;CATAMARCA;2018;45.003.335
VAB;miles de pesos de 2018;14;CORDOBA;2018;843.504.538
VAB;miles de pesos de 2018;18;CORRIENTES;2018;121.253.920
VAB;miles de pesos de 2018;22;CHACO;2018;108.503.217
VAB;miles de pesos de 2018;26;CHUBUT;2018;173.569.596
VAB;miles de pesos de 2018;30;ENTRE RIOS;2018;242.299.073
VAB;miles de pesos de 2018;34;FORMOSA;2018;39.273.163
VAB;miles de pesos de 2018;38;JUJUY;2018;64.728.164
VAB;miles de pesos de 2018;42;LA PAMPA;2018;87.810.355
VAB;miles de pesos de 2018;46;LA RIOJA;2018;36.653.719
VAB;miles de pesos de 2018;50;MENDOZA;2018;417.032.531
VAB;miles de pesos de 2018;54;MISIONES;2018;174.907.660
VAB;miles de pesos de 2018;58;NEUQUEN;2018;334.220.618
VAB;miles de pesos de 2018;62;RIO NEGRO;2018;195.487.208
VAB;miles de pesos de 2018;66;SALTA;2018;158.181.621
VAB;miles de pesos de 2018;70;SAN JUAN;2018;118.895.898
VAB;miles de pesos de 2018;74;SAN LUIS;2018;75.965.292
VAB;miles de pesos de 2018;78;SANTA CRUZ;2018;199.149.650
VAB;miles de pesos de 2018;82;SANTA FE;2018;913.363.151
VAB;miles de pesos de 2018;86;SANTIAGO DEL ESTERO;2018;89.569.017
VAB;miles de pesos de 2018;90;TUCUMAN;2018;196.089.319
VAB;miles de pesos de 2018;94;TIERRA DEL FUEGO;2018;66.178.639
VAB;miles de pesos de 2018;200;Argentina;2018;9.864.630.442
VAB;miles de pesos de 2018;06;BUENOS AIRES;2019;2.887.136.776
VAB;miles de pesos de 2018;02;CAPITAL FEDERAL;2019;2.089.866.466
VAB;miles de pesos de 2018;10;CATAMARCA;2019;39.748.253
VAB;miles de pesos de 2018;14;CORDOBA;2019;827.202.115
VAB;miles de pesos de 2018;18;CORRIENTES;2019;116.370.783
VAB;miles de pesos de 2018;22;CHACO;2019;100.281.652
VAB;miles de pesos de 2018;26;CHUBUT;2019;168.135.857
VAB;miles de pesos de 2018;30;ENTRE RIOS;2019;252.248.279
VAB;miles de pesos de 2018;34;FORMOSA;2019;36.240.987
VAB;miles de pesos de 2018;38;JUJUY;2019;67.570.022
VAB;miles de pesos de 2018;42;LA PAMPA;2019;89.181.037
VAB;miles de pesos de 2018;46;LA RIOJA;2019;33.958.770
VAB;miles de pesos de 2018;50;MENDOZA;2019;404.436.898
VAB;miles de pesos de 2018;54;MISIONES;2019;172.710.581
VAB;miles de pesos de 2018;58;NEUQUEN;2019;363.065.484
VAB;miles de pesos de 2018;62;RIO NEGRO;2019;186.447.556
VAB;miles de pesos de 2018;66;SALTA;2019;158.874.883
VAB;miles de pesos de 2018;70;SAN JUAN;2019;110.632.260
VAB;miles de pesos de 2018;74;SAN LUIS;2019;73.771.352
VAB;miles de pesos de 2018;78;SANTA CRUZ;2019;191.482.931
VAB;miles de pesos de 2018;82;SANTA FE;2019;909.976.417
VAB;miles de pesos de 2018;86;SANTIAGO DEL ESTERO;2019;90.516.152
VAB;miles de pesos de 2018;90;TUCUMAN;2019;189.861.796
VAB;miles de pesos de 2018;94;TIERRA DEL FUEGO;2019;61.070.122
VAB;miles de pesos de 2018;200;Argentina;2019;9.620.787.428
VAB;miles de pesos de 2018;06;BUENOS AIRES;2020;2.655.092.710
VAB;miles de pesos de 2018;02;CAPITAL FEDERAL;2020;1.897.446.010
VAB;miles de pesos de 2018;10;CATAMARCA;2020;36.948.006
VAB;miles de pesos de 2018;14;CORDOBA;2020;776.943.672
VAB;miles de pesos de 2018;18;CORRIENTES;2020;110.468.868
VAB;miles de pesos de 2018;22;CHACO;2020;96.103.522
VAB;miles de pesos de 2018;26;CHUBUT;2020;158.487.024
VAB;miles de pesos de 2018;30;ENTRE RIOS;2020;237.566.130
VAB;miles de pesos de 2018;34;FORMOSA;2020;33.821.671
VAB;miles de pesos de 2018;38;JUJUY;2020;62.213.185
VAB;miles de pesos de 2018;42;LA PAMPA;2020;82.566.424
VAB;miles de pesos de 2018;46;LA RIOJA;2020;30.937.322
VAB;miles de pesos de 2018;50;MENDOZA;2020;369.970.860
VAB;miles de pesos de 2018;54;MISIONES;2020;161.539.768
VAB;miles de pesos de 2018;58;NEUQUEN;2020;341.755.991
VAB;miles de pesos de 2018;62;RIO NEGRO;2020;173.095.755
VAB;miles de pesos de 2018;66;SALTA;2020;150.455.195
VAB;miles de pesos de 2018;70;SAN JUAN;2020;102.534.206
VAB;miles de pesos de 2018;74;SAN LUIS;2020;64.903.987
VAB;miles de pesos de 2018;78;SANTA CRUZ;2020;168.242.716
VAB;miles de pesos de 2018;82;SANTA FE;2020;838.717.298
VAB;miles de pesos de 2018;86;SANTIAGO DEL ESTERO;2020;88.811.518
VAB;miles de pesos de 2018;90;TUCUMAN;2020;175.667.388
VAB;miles de pesos de 2018;94;TIERRA DEL FUEGO;2020;54.494.819
VAB;miles de pesos de 2018;200;Argentina;2020;8.868.784.047
VAB;miles de pesos de 2018;06;BUENOS AIRES;2021;2.926.245.454
VAB;miles de pesos de 2018;02;CAPITAL FEDERAL;2021;2.063.315.705
VAB;miles de pesos de 2018;10;CATAMARCA;2021;41.666.851
VAB;miles de pesos de 2018;14;CORDOBA;2021;871.229.418
VAB;miles de pesos de 2018;18;CORRIENTES;2021;123.577.304
VAB;miles de pesos de 2018;22;CHACO;2021;103.914.639
VAB;miles de pesos de 2018;26;CHUBUT;2021;173.317.393
VAB;miles de pesos de 2018;30;ENTRE RIOS;2021;249.208.150
VAB;miles de pesos de 2018;34;FORMOSA;2021;40.078.732
VAB;miles de pesos de 2018;38;JUJUY;2021;70.936.086
VAB;miles de pesos de 2018;42;LA PAMPA;2021;90.749.889
VAB;miles de pesos de 2018;46;LA RIOJA;2021;35.039.830
VAB;miles de pesos de 2018;50;MENDOZA;2021;400.120.665
VAB;miles de pesos de 2018;54;MISIONES;2021;181.689.949
VAB;miles de pesos de 2018;58;NEUQUEN;2021;380.678.461
VAB;miles de pesos de 2018;62;RIO NEGRO;2021;189.558.851
VAB;miles de pesos de 2018;66;SALTA;2021;166.512.091
VAB;miles de pesos de 2018;70;SAN JUAN;2021;116.760.537
VAB;miles de pesos de 2018;74;SAN LUIS;2021;74.869.462
VAB;miles de pesos de 2018;78;SANTA CRUZ;2021;191.574.544
VAB;miles de pesos de 2018;82;SANTA FE;2021;932.487.058
VAB;miles de pesos de 2018;86;SANTIAGO DEL ESTERO;2021;93.690.083
VAB;miles de pesos de 2018;90;TUCUMAN;2021;190.548.911
VAB;miles de pesos de 2018;94;TIERRA DEL FUEGO;2021;61.348.155
VAB;miles de pesos de 2018;200;Argentina;2021;9.769.118.220
